iter	Passed	Remaining
597	2404	812
598	2407	807
599	2412	804
600	2416	800
601	2419	795
602	2423	791
603	2428	787
604	2431	783
605	2435	779
606	2439	775
607	2443	771
608	2447	767
609	2450	763
610	2454	759
611	2458	755
612	2461	750
613	2466	747
614	2471	743
615	2475	739
616	2479	735
617	2483	731
618	2488	727
619	2493	723
620	2497	719
621	2501	715
622	2504	711
623	2508	707
624	2512	703
625	2515	699
626	2519	695
627	2523	691
628	2526	686
629	2529	682
630	2533	678
631	2537	674
632	2541	670
633	2545	666
634	2550	662
635	2554	658
636	2557	654
637	2561	650
638	2564	646
639	2568	642
640	2572	638
641	2576	633
642	2579	629
643	2583	625
644	2586	621
645	2590	617
646	2594	613
647	2597	609
648	2601	605
649	2604	601
650	2608	596
651	2611	592
652	2615	588
653	2619	584
654	2622	580
655	2626	576
656	2630	572
657	2633	568
658	2637	564
659	2641	560
660	2645	556
661	2649	552
662	2652	548
663	2656	544
664	2660	540
665	2663	535
666	2667	531
667	2670	527
668	2674	523
669	2678	519
670	2682	515
671	2685	511
672	2689	507
673	2692	503
674	2697	499
675	2706	496
676	2710	492
677	2715	488
678	2719	484
679	2724	480
680	2728	476
681	2732	472
682	2736	468
683	2740	464
684	2744	460
685	2747	456
686	2751	452
687	2755	448
688	2759	444
689	2763	440
690	2766	436
691	2770	432
692	2774	428
693	2778	424
694	2781	420
695	2785	416
696	2788	412
697	2793	408
698	2796	404
699	2800	400
700	2804	396
701	2807	391
702	2811	387
703	2815	383
704	2819	379
705	2823	375
706	2827	371
707	2830	367
708	2835	363
709	2839	359
710	2842	355
711	2846	351
712	2849	347
713	2853	343
714	2857	339
715	2860	335
716	2864	331
717	2868	327
718	2872	323
719	2875	319
720	2879	315
721	2883	311
722	2887	307
723	2890	303
724	2894	299
725	2898	295
726	2902	291
727	2906	287
728	2910	283
729	2914	279
730	2918	275
731	2921	271
732	2926	267
733	2929	263
734	2933	259
735	2936	255
736	2941	251
737	2944	247
738	2948	243
739	2951	239
740	2955	235
741	2959	231
742	2962	227
743	2966	223
744	2970	219
745	2974	215
746	2977	211
747	2981	207
748	2985	203
749	2988	199
750	2992	195
751	2996	191
752	3000	187
753	3003	183
754	3007	179
755	3011	175
756	3014	171
757	3018	167
758	3022	163
759	3026	159
760	3031	155
761	3035	151
762	3039	147
763	3042	143
764	3046	139
765	3050	135
766	3053	131
767	3057	127
768	3062	123
769	3065	119
770	3069	115
771	3073	111
772	3077	107
773	3080	103
774	3084	99
775	3088	95
776	3092	91
777	3095	87
778	3099	83
779	3103	79
780	3106	75
781	3110	71
782	3114	67
783	3118	63
784	3121	59
785	3125	55
786	3129	51
787	3132	47
788	3137	43
789	3141	39
790	3144	35
791	3147	31
792	3151	27
793	3155	23
794	3159	19
795	3163	15
796	3167	11
797	3171	7
798	3174	3
799	3178	0
